a,		b,		c,	d,		e,	f,		g,	h,		i, target
0.990669983,0.996574864,0.822032697,0.990586353,4.337777778,1.03633218,0.989955798,1.062283737,0.987477022,1
0.983692368,0.994032939,1.432094699,0.983813367,7.244444444,1.740484429,0.983005823,1.742214533,1.642348346,1
0.992185347,0.997113407,0.692782273,0.992124454,3.644444444,0.884948097,0.99132566,0.897058824,0.870289522,1
0.982800745,0.993207172,1.630278683,0.982959286,8.222222222,1.916089965,0.981820267,1.917820069,1.850011489,1
0.984759743,0.994980775,1.204613953,0.984600647,6.4,1.671280277,0.983307093,1.649653979,1.540670956,1
0.990092141,0.99615121,0.923709698,0.990145316,4.702222222,1.098615917,0.989560955,1.088235294,1.063304228,1
0.989218456,0.997680673,0.556638493,0.989447092,2.608888889,0.533737024,0.988982615,0.673875433,0.578182445,1
0.987096574,0.995802952,1.007291639,0.987081363,5.217777778,1.035467128,0.987187852,1.033737024,1.034869026,1
0.992258523,0.999263991,0.176642246,0.992258452,0.915555556,0.242214533,0.992006197,0.261245675,0.233513327,1
0.98267708,0.993896508,1.46483814,0.983055204,7.111111111,1.80449827,0.981249934,1.903114187,1.771599265,1
0.991225416,0.997511929,0.597136959,0.991316848,2.973333333,0.817474048,0.990563003,0.819204152,0.747070313,1
0.988693106,0.997296512,0.648837129,0.988776894,3.248888889,0.787197232,0.988031074,0.816608997,0.786707261,1
0.988815219,0.997479617,0.604891985,0.988830447,3.097777778,0.834775087,0.988023639,0.808823529,0.774643842,1
0.986016896,0.993760077,1.497581581,0.986092475,7.635555556,1.435986159,0.985985895,1.467128028,1.476907169,1
0.987585232,0.994844344,1.237357394,0.987623112,6.337777778,1.215397924,0.987448245,1.21366782,1.235638787,1
0.989542527,0.997152984,0.683283818,0.989351082,2.831111111,1.030175707,0.988140899,0.986631016,0.978112175,1
0.992116498,0.997698624,0.552330146,0.992253742,2.688888889,0.669550173,0.991484222,0.702422145,0.672104779,1
0.985564061,0.994876657,1.229602368,0.985541334,6.368888889,1.608131488,0.984428671,1.611591696,1.47087546,1
0.991598565,0.997109817,0.693643943,0.991431128,3.773333333,0.947231834,0.990716117,0.890138408,0.875459559,1
0.98926248,0.997095456,0.697090621,0.989308153,3.542222222,0.908304498,0.988334629,0.91349481,0.868566176,1
0.988243855,0.995842445,0.997813274,0.988342553,5.031111111,1.232698962,0.98744728,1.256920415,1.172736673,1
0.992347474,0.998797253,0.288659281,0.992164228,1.697777778,0.399653979,0.992049478,0.328719723,0.369657629,1
0.990460171,0.998484898,0.363624527,0.990673984,1.626666667,0.439446367,0.990192997,0.503460208,0.423943015,1
0.986686568,0.99565934,1.041758419,0.986716935,5.337777778,1.242214533,0.986527441,1.216262976,1.115866268,1
0.991926101,0.997210345,0.669517197,0.99181952,3.577777778,0.897923875,0.991340251,0.899653979,0.811695772,1
0.988883529,0.997476026,0.605753654,0.988891172,3.12,0.847750865,0.987985587,0.864186851,0.77722886,1
0.989871329,0.9961548,0.922848028,0.989810562,4.831111111,1.032871972,0.989529535,1.008650519,0.997817096,1
0.991386045,0.996599996,0.816001011,0.991310019,4.297777778,0.9316609,0.991112437,0.883217993,0.884076287,1
0.986297993,0.996438272,0.854814765,0.986123913,2.617777778,1.274679422,0.985196089,1.180032567,1.099151001,1
0.990601519,0.99653178,0.832372731,0.990525506,4.386666667,1.083044983,0.989811587,1.053633218,1.021082261,1
0.991095905,0.997055963,0.706568985,0.991073073,3.671111111,1.01816609,0.990076797,0.96799308,0.916819853,1
0.99110437,0.996488697,0.842712765,0.99114998,4.293333333,1.043252595,0.990352215,1.05017301,1.007295496,1
0.984495549,0.994287849,1.370916165,0.984329126,7.266666667,1.735294118,0.983248325,1.724913495,1.638901654,1
0.986406949,0.994865886,1.232187377,0.986316053,6.462222222,1.480968858,0.985407496,1.467128028,1.437270221,1
0.982785283,0.993271797,1.614768632,0.982906087,8.186666667,1.969723183,0.981518423,1.997404844,1.899126838,1
0.988071187,0.995052581,1.187380563,0.988298593,5.857777778,1.307093426,0.987654307,1.308823529,1.272690717,1
0.990410996,0.997343186,0.637635426,0.990289157,3.431111111,0.955882353,0.989855314,0.900519031,0.768612132,1
0.988980925,0.996240967,0.90216796,0.988958131,4.68,1.204152249,0.988115464,1.204152249,1.096909467,1
0.990837129,0.996872858,0.750514129,0.990852345,3.853333333,1.014705882,0.990084446,1.000865052,0.920266544,1
0.988699722,0.996815413,0.764300841,0.988410727,4.28,1.201557093,0.98737763,1.102941176,1.03917739,1
0.98614059,0.996205064,0.910784655,0.986049423,4.804444444,1.30017301,0.984971952,1.241349481,1.178768382,1
0.990549831,0.998133049,0.448068137,0.990603304,2.244444444,0.452422145,0.9904205,0.455882353,0.454101563,1
0.992871018,0.99751552,0.59627529,0.992893875,3.048888889,0.806228374,0.992178123,0.780276817,0.747931985,1
0.987878892,0.995993237,0.961623156,0.987795337,5.062222222,1.003460208,0.987879158,1.034602076,1.01160386,1
0.99004592,0.99640971,0.861669494,0.990023119,4.471111111,1.108131488,0.989301606,1.109861592,1.032284007,1
0.992718525,0.997870958,0.51097001,0.992726153,2.626666667,0.653979239,0.992680426,0.660899654,0.565257353,1
0.989946641,0.996826184,0.761715833,0.990106423,3.742222222,0.935121107,0.989201636,1.070069204,0.930606618,1
0.98993765,0.998750579,0.299860984,0.989784962,1.72,0.524221453,0.989555123,0.446366782,0.421357996,1
0.985366272,0.995325443,1.121893681,0.98523738,5.937777778,1.519896194,0.984320955,1.464532872,1.365751379,1
0.989749102,0.99640253,0.863392833,0.989855521,4.328888889,0.991349481,0.989384357,1.022491349,0.944393382,1
0.990123173,0.997853007,0.515278358,0.99023761,2.52,0.639273356,0.989711829,0.639273356,0.588522518,1
0.989087925,0.997181623,0.676410553,0.9890727,3.511111111,0.84083045,0.988228546,0.860726644,0.784122243,1
0.991842319,0.997167262,0.679857231,0.991758584,3.604444444,0.926470588,0.991195605,0.902249135,0.82634421,1
0.990327527,0.996456384,0.850467791,0.99039595,4.306666667,1.035467128,0.989453802,1.057958478,1.027975643,1
1,1,0,1,0,0,1,0,0,1
0.990198105,0.997364727,0.632465409,0.990281891,3.164444444,0.80017301,0.989216468,0.827854671,0.77722886,1
0.987317155,0.995504957,1.078810207,0.98731721,5.564444444,1.126297578,0.98674035,1.115916955,1.158088235,1
0.992026488,0.996574864,0.822032697,0.992003676,4.266666667,0.887543253,0.991867013,0.885813149,0.871151195,1
0.991255872,0.996998518,0.720355697,0.991248262,3.724444444,0.94550173,0.990578998,0.936851211,0.874597886,1
0.98799283,0.996452794,0.85132946,0.987848417,4.56,1.058823529,0.986982708,1.096885813,1.057272518,1
0.985980815,0.995842445,0.997813274,0.985730376,5.435555556,1.307958478,0.984979867,1.270761246,1.244255515,1
0.990266708,0.997479617,0.604891985,0.990228691,3.16,0.719723183,0.989505548,0.69550173,0.728975184,1
0.987279115,0.995526499,1.07364019,0.987339833,5.466666667,1.166089965,0.986945261,1.136678201,1.13482307,1
0.987970072,0.996495877,0.840989426,0.987764858,4.577777778,1.257785467,0.986770536,1.219723183,1.133961397,1
0.982442636,0.993734945,1.503613267,0.982261304,7.973333333,1.753460208,0.981966824,1.693771626,1.61908318,1
0.991590869,0.997493978,0.601445307,0.991659468,3.017777778,0.76384083,0.990791413,0.770761246,0.749655331,1
0.983638082,0.994873067,1.230464038,0.983706268,6.266666667,1.564013841,0.98281311,1.643598616,1.434685202,1
0.990045546,0.996890809,0.746205782,0.99032714,3.52,0.937716263,0.989300372,0.975778547,0.904756434,1
0.989231708,0.996643079,0.805660977,0.989132835,4.275555556,0.78633218,0.989376171,0.781141869,0.780675551,1
0.98835003,0.996043501,0.949559783,0.988023566,5.28,1.349480969,0.987409401,1.290657439,1.181353401,1
0.988266608,0.996729246,0.784980909,0.988296993,4.017777778,0.991349481,0.98766613,0.985294118,0.952148438,1
0.989606432,0.995630618,1.048651774,0.989477458,5.56,1.179065744,0.989082947,1.184256055,1.159811581,1
0.989262376,0.997034421,0.711739002,0.989148234,3.804444444,0.956747405,0.988555031,0.908304498,0.858226103,1
0.985020256,0.994007807,1.438126386,0.985012695,7.426666667,1.640138408,0.984528646,1.593425606,1.536362592,1
0.985387912,0.993462083,1.569100149,0.98541056,8.066666667,1.575259516,0.985508855,1.582179931,1.546702665,1
0.991484237,0.997346776,0.636773756,0.991377606,3.413333333,0.820069204,0.99106566,0.773356401,0.759133732,1
0.988572128,0.995372117,1.110691978,0.988488714,5.826666667,1.275086505,0.987882399,1.330449827,1.264935662,1
0.991366938,0.998922913,0.258500848,0.99138227,1.311111111,0.353806228,0.990780051,0.329584775,0.328297335,1
0.991719078,0.999328616,0.161132195,0.991734301,0.817777778,0.16349481,0.991703423,0.203287197,0.177504596,1
0.988494501,0.996711295,0.789289257,0.988547691,4.013333333,0.798442907,0.988707343,0.820934256,0.772058824,1
0.991507068,0.997336005,0.639358765,0.991484231,3.32,0.87716263,0.99091352,0.897923875,0.794462316,1
0.990974058,0.997249838,0.660038833,0.990935987,3.448888889,0.936851211,0.990182732,0.879757785,0.834099265,1
0.989954769,0.99739704,0.624710383,0.989931919,3.248888889,0.687716263,0.989513296,0.682525952,0.692784926,1
0.988717513,0.997745298,0.541128442,0.98860319,2.924444444,0.775086505,0.988054759,0.8183391,0.691061581,1
0.988799079,0.995817313,1.003844961,0.988707996,5.284444444,1.288062284,0.987934122,1.260380623,1.182215074,1
0.990704703,0.997071774,0.70277426,0.990979329,3.297777778,0.915289495,0.990056888,1.017566162,0.849545298,1
0.986262186,0.996334314,0.879764554,0.986201395,4.608888889,1.226643599,0.985313126,1.153979239,1.109834559,1
0.989690864,0.998054063,0.467024866,0.989698467,2.404444444,0.624567474,0.988936918,0.605536332,0.5859375,1
0.987598186,0.996639489,0.806522647,0.987180123,4.648888889,1.291522491,0.986511915,1.184256055,1.055549173,1
0.987871286,0.996438433,0.854776138,0.987970111,4.293333333,1.038927336,0.987141996,1.057093426,0.988338695,1
